Grid->dimx = 50 Grid->dimy = 50 Grid->cell = 0x7f96887bc010
X = 3 Y = 17 cell = 0x7f96887dd530
X = 3 Y = 18 cell = 0x7f96887df470
X = 3 Y = 19 cell = 0x7f96887e13b0
X = 3 Y = 20 cell = 0x7f96887e32f0
X = 3 Y = 21 cell = 0x7f96887e5230
X = 3 Y = 22 cell = 0x7f96887e7170
X = 3 Y = 23 cell = 0x7f96887e90b0
X = 3 Y = 24 cell = 0x7f96887eaff0
X = 3 Y = 25 cell = 0x7f96887ecf30
X = 3 Y = 26 cell = 0x7f96887eee70
X = 3 Y = 27 cell = 0x7f96887f0db0
X = 3 Y = 28 cell = 0x7f96887f2cf0
X = 3 Y = 29 cell = 0x7f96887f4c30
X = 3 Y = 30 cell = 0x7f96887f6b70
X = 3 Y = 31 cell = 0x7f96887f8ab0
X = 3 Y = 32 cell = 0x7f96887fa9f0
X = 3 Y = 33 cell = 0x7f96887fc930
X = 3 Y = 34 cell = 0x7f96887fe870
X = 3 Y = 35 cell = 0x7f96888007b0
X = 3 Y = 36 cell = 0x7f96888026f0
X = 3 Y = 37 cell = 0x7f9688804630
X = 3 Y = 38 cell = 0x7f9688806570
X = 3 Y = 39 cell = 0x7f96888084b0
X = 3 Y = 40 cell = 0x7f968880a3f0
X = 3 Y = 41 cell = 0x7f968880c330
X = 3 Y = 42 cell = 0x7f968880e270
X = 3 Y = 43 cell = 0x7f96888101b0
X = 3 Y = 44 cell = 0x7f96888120f0
X = 3 Y = 45 cell = 0x7f9688814030
X = 3 Y = 46 cell = 0x7f9688815f70
X = 3 Y = 47 cell = 0x7f9688817eb0
X = 3 Y = 48 cell = 0x7f9688819df0
X = 3 Y = 49 cell = 0x7f968881bd30
X = 4 Y = 0 cell = 0x7f96887bc290
X = 4 Y = 1 cell = 0x7f96887be1d0
X = 4 Y = 2 cell = 0x7f96887c0110
X = 4 Y = 3 cell = 0x7f96887c2050
X = 4 Y = 4 cell = 0x7f96887c3f90
X = 4 Y = 5 cell = 0x7f96887c5ed0
X = 4 Y = 6 cell = 0x7f96887c7e10
X = 4 Y = 7 cell = 0x7f96887c9d50
X = 4 Y = 8 cell = 0x7f96887cbc90
X = 4 Y = 9 cell = 0x7f96887cdbd0
X = 4 Y = 10 cell = 0x7f96887cfb10
X = 4 Y = 11 cell = 0x7f96887d1a50
X = 4 Y = 12 cell = 0x7f96887d3990
X = 4 Y = 13 cell = 0x7f96887d58d0
X = 4 Y = 14 cell = 0x7f96887d7810
X = 4 Y = 15 cell = 0x7f96887d9750
X = 4 Y = 16 cell = 0x7f96887db690
X = 4 Y = 17 cell = 0x7f96887dd5d0
X = 4 Y = 18 cell = 0x7f96887df510
X = 4 Y = 19 cell = 0x7f96887e1450
X = 4 Y = 20 cell = 0x7f96887e3390
X = 4 Y = 21 cell = 0x7f96887e52d0
X = 4 Y = 22 cell = 0x7f96887e7210
X = 4 Y = 23 cell = 0x7f96887e9150
X = 4 Y = 24 cell = 0x7f96887eb090
X = 4 Y = 25 cell = 0x7f96887ecfd0
X = 4 Y = 26 cell = 0x7f96887eef10
X = 4 Y = 27 cell = 0x7f96887f0e50
X = 4 Y = 28 cell = 0x7f96887f2d90
X = 4 Y = 29 cell = 0x7f96887f4cd0
X = 4 Y = 30 cell = 0x7f96887f6c10
X = 4 Y = 31 cell = 0x7f96887f8b50
X = 4 Y = 32 cell = 0x7f96887faa90
X = 4 Y = 33 cell = 0x7f96887fc9d0
X = 4 Y = 34 cell = 0x7f96887fe910
X = 4 Y = 35 cell = 0x7f9688800850
X = 4 Y = 36 cell = 0x7f9688802790
X = 4 Y = 37 cell = 0x7f96888046d0
X = 4 Y = 38 cell = 0x7f9688806610
X = 4 Y = 39 cell = 0x7f9688808550
X = 4 Y = 40 cell = 0x7f968880a490
X = 4 Y = 41 cell = 0x7f968880c3d0
X = 4 Y = 42 cell = 0x7f968880e310
X = 4 Y = 43 cell = 0x7f9688810250
X = 4 Y = 44 cell = 0x7f9688812190
X = 4 Y = 45 cell = 0x7f96888140d0
X = 4 Y = 46 cell = 0x7f9688816010
X = 4 Y = 47 cell = 0x7f9688817f50
X = 4 Y = 48 cell = 0x7f9688819e90
X = 4 Y = 49 cell = 0x7f968881bdd0
X = 5 Y = 0 cell = 0x7f96887bc330
X = 5 Y = 1 cell = 0x7f96887be270
X = 5 Y = 2 cell = 0x7f96887c01b0
X = 5 Y = 3 cell = 0x7f96887c20f0
X = 5 Y = 4 cell = 0x7f96887c4030
X = 5 Y = 5 cell = 0x7f96887c5f70
X = 5 Y = 6 cell = 0x7f96887c7eb0
X = 5 Y = 7 cell = 0x7f96887c9df0
X = 5 Y = 8 cell = 0x7f96887cbd30
X = 5 Y = 9 cell = 0x7f96887cdc70
X = 5 Y = 10 cell = 0x7f96887cfbb0
X = 5 Y = 11 cell = 0x7f96887d1af0
X = 5 Y = 12 cell = 0x7f96887d3a30
X = 5 Y = 13 cell = 0x7f96887d5970
X = 5 Y = 14 cell = 0x7f96887d78b0
X = 5 Y = 15 cell = 0x7f96887d97f0
X = 5 Y = 16 cell = 0x7f96887db730
X = 5 Y = 17 cell = 0x7f96887dd670
X = 5 Y = 18 cell = 0x7f96887df5b0
X = 5 Y = 19 cell = 0x7f96887e14f0
X = 5 Y = 20 cell = 0x7f96887e3430
X = 5 Y = 21 cell = 0x7f96887e5370
X = 5 Y = 22 cell = 0x7f96887e72b0
X = 5 Y = 23 cell = 0x7f96887e91f0
X = 5 Y = 24 cell = 0x7f96887eb130
X = 5 Y = 25 cell = 0x7f96887ed070
X = 5 Y = 26 cell = 0x7f96887eefb0
X = 5 Y = 27 cell = 0x7f96887f0ef0
X = 5 Y = 28 cell = 0x7f96887f2e30
X = 5 Y = 29 cell = 0x7f96887f4d70
X = 5 Y = 30 cell = 0x7f96887f6cb0
X = 5 Y = 31 cell = 0x7f96887f8bf0
X = 5 Y = 32 cell = 0x7f96887fab30
X = 5 Y = 33 cell = 0x7f96887fca70
X = 5 Y = 34 cell = 0x7f96887fe9b0
X = 5 Y = 35 cell = 0x7f96888008f0
X = 5 Y = 36 cell = 0x7f9688802830
X = 5 Y = 37 cell = 0x7f9688804770
X = 5 Y = 38 cell = 0x7f96888066b0
X = 5 Y = 39 cell = 0x7f96888085f0
X = 5 Y = 40 cell = 0x7f968880a530
X = 5 Y = 41 cell = 0x7f968880c470
X = 5 Y = 42 cell = 0x7f968880e3b0
X = 5 Y = 43 cell = 0x7f96888102f0
X = 5 Y = 44 cell = 0x7f9688812230
X = 5 Y = 45 cell = 0x7f9688814170
X = 5 Y = 46 cell = 0x7f96888160b0
X = 5 Y = 47 cell = 0x7f9688817ff0
X = 5 Y = 48 cell = 0x7f9688819f30
X = 5 Y = 49 cell = 0x7f968881be70
X = 6 Y = 0 cell = 0x7f96887bc3d0
X = 6 Y = 1 cell = 0x7f96887be310
X = 6 Y = 2 cell = 0x7f96887c0250
X = 6 Y = 3 cell = 0x7f96887c2190
X = 6 Y = 4 cell = 0x7f96887c40d0
X = 6 Y = 5 cell = 0x7f96887c6010
X = 6 Y = 6 cell = 0x7f96887c7f50
X = 6 Y = 7 cell = 0x7f96887c9e90
X = 6 Y = 8 cell = 0x7f96887cbdd0
X = 6 Y = 9 cell = 0x7f96887cdd10
X = 6 Y = 10 cell = 0x7f96887cfc50
X = 6 Y = 11 cell = 0x7f96887d1b90
X = 6 Y = 12 cell = 0x7f96887d3ad0
X = 6 Y = 13 cell = 0x7f96887d5a10
X = 6 Y = 14 cell = 0x7f96887d7950
X = 6 Y = 15 cell = 0x7f96887d9890
X = 6 Y = 16 cell = 0x7f96887db7d0
X = 6 Y = 17 cell = 0x7f96887dd710
X = 6 Y = 18 cell = 0x7f96887df650
